"daysIn","gamesIn","rollingSum","runID","natPos","Season","endDate","ppg"
0,0,0,"Arsenal-1931",1,1930,1931-05-02,1.80952380952381
119,1,0,"Arsenal-1931",14,1931,1931-08-29,1.80952380952381
121,2,1,"Arsenal-1931",13,1931,1931-08-31,1.80952380952381
126,3,2,"Arsenal-1931",13,1931,1931-09-05,1.80952380952381
130,4,3,"Arsenal-1931",13,1931,1931-09-09,1.80952380952381
133,5,6,"Arsenal-1931",10,1931,1931-09-12,1.80952380952381
137,6,9,"Arsenal-1931",3,1931,1931-09-16,1.80952380952381
140,7,12,"Arsenal-1931",3,1931,1931-09-19,1.80952380952381
147,8,15,"Arsenal-1931",4,1931,1931-09-26,1.80952380952381
154,9,15,"Arsenal-1931",5,1931,1931-10-03,1.80952380952381
161,10,18,"Arsenal-1931",4,1931,1931-10-10,1.80952380952381
168,11,19,"Arsenal-1931",4,1931,1931-10-17,1.80952380952381
175,12,22,"Arsenal-1931",4,1931,1931-10-24,1.80952380952381
182,13,23,"Arsenal-1931",3,1931,1931-10-31,1.80952380952381
189,14,23,"Arsenal-1931",5,1931,1931-11-07,1.80952380952381
196,15,26,"Arsenal-1931",4,1931,1931-11-14,1.80952380952381
203,16,26,"Arsenal-1931",6,1931,1931-11-21,1.80952380952381
210,17,29,"Arsenal-1931",4,1931,1931-11-28,1.80952380952381
217,18,32,"Arsenal-1931",3,1931,1931-12-05,1.80952380952381
224,19,33,"Arsenal-1931",3,1931,1931-12-12,1.80952380952381
231,20,36,"Arsenal-1931",3,1931,1931-12-19,1.80952380952381
237,21,36,"Arsenal-1931",3,1931,1931-12-25,1.80952380952381
238,22,36,"Arsenal-1931",3,1931,1931-12-26,1.80952380952381
245,23,36,"Arsenal-1931",7,1931,1932-01-02,1.80952380952381
259,24,39,"Arsenal-1931",6,1931,1932-01-16,1.80952380952381
273,25,42,"Arsenal-1931",6,1931,1932-01-30,1.80952380952381
280,26,45,"Arsenal-1931",5,1931,1932-02-06,1.80952380952381
291,27,48,"Arsenal-1931",3,1931,1932-02-17,1.80952380952381
294,28,51,"Arsenal-1931",2,1931,1932-02-20,1.80952380952381
305,29,51,"Arsenal-1931",3,1931,1932-03-02,1.80952380952381
308,30,54,"Arsenal-1931",3,1931,1932-03-05,1.80952380952381
322,31,57,"Arsenal-1931",3,1931,1932-03-19,1.80952380952381
328,32,60,"Arsenal-1931",2,1931,1932-03-25,1.80952380952381
329,33,61,"Arsenal-1931",2,1931,1932-03-26,1.80952380952381
331,34,62,"Arsenal-1931",2,1931,1932-03-28,1.80952380952381
336,35,63,"Arsenal-1931",2,1931,1932-04-02,1.80952380952381
340,36,63,"Arsenal-1931",2,1931,1932-04-06,1.80952380952381
343,37,63,"Arsenal-1931",4,1931,1932-04-09,1.80952380952381
350,38,66,"Arsenal-1931",2,1931,1932-04-16,1.80952380952381
359,39,67,"Arsenal-1931",2,1931,1932-04-25,1.80952380952381
