"daysIn","gamesIn","rollingSum","runID","natPos","Season","endDate","ppg"
361,40,70,"Arsenal-1931",2,1931,1932-04-27,1.80952380952381
364,41,73,"Arsenal-1931",2,1931,1932-04-30,1.80952380952381
371,42,76,"Arsenal-1931",2,1931,1932-05-07,1.80952380952381
0,0,0,"Arsenal-1933",1,1932,1933-05-06,2
112,1,1,"Arsenal-1933",9,1933,1933-08-26,2
119,2,4,"Arsenal-1933",9,1933,1933-09-02,2
123,3,7,"Arsenal-1933",4,1933,1933-09-06,2
126,4,8,"Arsenal-1933",3,1933,1933-09-09,2
130,5,8,"Arsenal-1933",4,1933,1933-09-13,2
133,6,9,"Arsenal-1933",6,1933,1933-09-16,2
140,7,9,"Arsenal-1933",12,1933,1933-09-23,2
147,8,12,"Arsenal-1933",6,1933,1933-09-30,2
154,9,13,"Arsenal-1933",3,1933,1933-10-07,2
161,10,16,"Arsenal-1933",2,1933,1933-10-14,2
168,11,19,"Arsenal-1933",2,1933,1933-10-21,2
175,12,22,"Arsenal-1933",2,1933,1933-10-28,2
182,13,23,"Arsenal-1933",2,1933,1933-11-04,2
189,14,26,"Arsenal-1933",2,1933,1933-11-11,2
196,15,29,"Arsenal-1933",2,1933,1933-11-18,2
203,16,32,"Arsenal-1933",1,1933,1933-11-25,2
210,17,35,"Arsenal-1933",1,1933,1933-12-02,2
217,18,35,"Arsenal-1933",1,1933,1933-12-09,2
224,19,38,"Arsenal-1933",1,1933,1933-12-16,2
231,20,41,"Arsenal-1933",1,1933,1933-12-23,2
233,21,44,"Arsenal-1933",1,1933,1933-12-25,2
234,22,47,"Arsenal-1933",1,1933,1933-12-26,2
238,23,48,"Arsenal-1933",1,1933,1933-12-30,2
245,24,49,"Arsenal-1933",1,1933,1934-01-06,2
259,25,49,"Arsenal-1933",1,1933,1934-01-20,2
270,26,49,"Arsenal-1933",2,1933,1934-01-31,2
273,27,49,"Arsenal-1933",3,1933,1934-02-03,2
280,28,52,"Arsenal-1933",3,1933,1934-02-10,2
291,29,55,"Arsenal-1933",2,1933,1934-02-21,2
294,30,58,"Arsenal-1933",1,1933,1934-02-24,2
306,31,58,"Arsenal-1933",2,1933,1934-03-08,2
308,32,61,"Arsenal-1933",2,1933,1934-03-10,2
322,33,64,"Arsenal-1933",2,1933,1934-03-24,2
328,34,67,"Arsenal-1933",1,1933,1934-03-30,2
329,35,68,"Arsenal-1933",2,1933,1934-03-31,2
331,36,71,"Arsenal-1933",1,1933,1934-04-02,2
336,37,74,"Arsenal-1933",1,1933,1934-04-07,2
343,38,77,"Arsenal-1933",1,1933,1934-04-14,2
347,39,77,"Arsenal-1933",1,1933,1934-04-18,2
350,40,80,"Arsenal-1933",1,1933,1934-04-21,2
357,41,81,"Arsenal-1933",1,1933,1934-04-28,2
364,42,84,"Arsenal-1933",1,1933,1934-05-05,2
0,0,0,"Arsenal-1934",1,1933,1934-05-05,1.92857142857143
112,1,1,"Arsenal-1934",8,1934,1934-08-25,1.92857142857143
119,2,4,"Arsenal-1934",10,1934,1934-09-01,1.92857142857143
123,3,7,"Arsenal-1934",4,1934,1934-09-05,1.92857142857143
126,4,8,"Arsenal-1934",5,1934,1934-09-08,1.92857142857143
133,5,11,"Arsenal-1934",4,1934,1934-09-15,1.92857142857143
135,6,11,"Arsenal-1934",4,1934,1934-09-17,1.92857142857143
140,7,12,"Arsenal-1934",5,1934,1934-09-22,1.92857142857143
147,8,15,"Arsenal-1934",3,1934,1934-09-29,1.92857142857143
154,9,16,"Arsenal-1934",3,1934,1934-10-06,1.92857142857143
161,10,19,"Arsenal-1934",1,1934,1934-10-13,1.92857142857143
168,11,22,"Arsenal-1934",1,1934,1934-10-20,1.92857142857143
175,12,22,"Arsenal-1934",2,1934,1934-10-27,1.92857142857143
182,13,25,"Arsenal-1934",1,1934,1934-11-03,1.92857142857143
189,14,26,"Arsenal-1934",2,1934,1934-11-10,1.92857142857143
196,15,26,"Arsenal-1934",3,1934,1934-11-17,1.92857142857143
203,16,29,"Arsenal-1934",2,1934,1934-11-24,1.92857142857143
210,17,32,"Arsenal-1934",1,1934,1934-12-01,1.92857142857143
217,18,33,"Arsenal-1934",2,1934,1934-12-08,1.92857142857143
224,19,36,"Arsenal-1934",2,1934,1934-12-15,1.92857142857143
231,20,36,"Arsenal-1934",2,1934,1934-12-22,1.92857142857143
234,21,39,"Arsenal-1934",1,1934,1934-12-25,1.92857142857143
235,22,39,"Arsenal-1934",3,1934,1934-12-26,1.92857142857143
238,23,40,"Arsenal-1934",3,1934,1934-12-29,1.92857142857143
245,24,43,"Arsenal-1934",2,1934,1935-01-05,1.92857142857143
259,25,46,"Arsenal-1934",1,1934,1935-01-19,1.92857142857143
270,26,49,"Arsenal-1934",1,1934,1935-01-30,1.92857142857143
273,27,52,"Arsenal-1934",1,1934,1935-02-02,1.92857142857143
280,28,52,"Arsenal-1934",1,1934,1935-02-09,1.92857142857143
291,29,55,"Arsenal-1934",1,1934,1935-02-20,1.92857142857143
294,30,56,"Arsenal-1934",1,1934,1935-02-23,1.92857142857143
305,31,59,"Arsenal-1934",1,1934,1935-03-06,1.92857142857143
308,32,60,"Arsenal-1934",1,1934,1935-03-09,1.92857142857143
315,33,63,"Arsenal-1934",1,1934,1935-03-16,1.92857142857143
322,34,64,"Arsenal-1934",1,1934,1935-03-23,1.92857142857143
329,35,67,"Arsenal-1934",1,1934,1935-03-30,1.92857142857143
336,36,68,"Arsenal-1934",1,1934,1935-04-06,1.92857142857143
343,37,69,"Arsenal-1934",1,1934,1935-04-13,1.92857142857143
349,38,72,"Arsenal-1934",1,1934,1935-04-19,1.92857142857143
350,39,75,"Arsenal-1934",1,1934,1935-04-20,1.92857142857143
352,40,78,"Arsenal-1934",1,1934,1935-04-22,1.92857142857143
357,41,81,"Arsenal-1934",1,1934,1935-04-27,1.92857142857143
364,42,81,"Arsenal-1934",1,1934,1935-05-04,1.92857142857143
0,0,0,"Arsenal-1935",1,1934,1935-05-04,1.42857142857143
119,1,3,"Arsenal-1935",2,1935,1935-08-31,1.42857142857143
122,2,3,"Arsenal-1935",5,1935,1935-09-03,1.42857142857143
126,3,4,"Arsenal-1935",12,1935,1935-09-07,1.42857142857143
130,4,7,"Arsenal-1935",6,1935,1935-09-11,1.42857142857143
133,5,8,"Arsenal-1935",5,1935,1935-09-14,1.42857142857143
137,6,9,"Arsenal-1935",6,1935,1935-09-18,1.42857142857143
140,7,9,"Arsenal-1935",8,1935,1935-09-21,1.42857142857143
147,8,12,"Arsenal-1935",6,1935,1935-09-28,1.42857142857143
154,9,15,"Arsenal-1935",5,1935,1935-10-05,1.42857142857143
161,10,16,"Arsenal-1935",5,1935,1935-10-12,1.42857142857143
168,11,16,"Arsenal-1935",7,1935,1935-10-19,1.42857142857143
175,12,19,"Arsenal-1935",5,1935,1935-10-26,1.42857142857143
182,13,19,"Arsenal-1935",5,1935,1935-11-02,1.42857142857143
189,14,20,"Arsenal-1935",5,1935,1935-11-09,1.42857142857143
196,15,23,"Arsenal-1935",5,1935,1935-11-16,1.42857142857143
203,16,26,"Arsenal-1935",4,1935,1935-11-23,1.42857142857143
210,17,27,"Arsenal-1935",4,1935,1935-11-30,1.42857142857143
219,18,30,"Arsenal-1935",4,1935,1935-12-09,1.42857142857143
224,19,33,"Arsenal-1935",4,1935,1935-12-14,1.42857142857143
235,20,36,"Arsenal-1935",2,1935,1935-12-25,1.42857142857143
236,21,36,"Arsenal-1935",3,1935,1935-12-26,1.42857142857143
238,22,36,"Arsenal-1935",4,1935,1935-12-28,1.42857142857143
245,23,37,"Arsenal-1935",4,1935,1936-01-04,1.42857142857143
259,24,37,"Arsenal-1935",4,1935,1936-01-18,1.42857142857143
273,25,40,"Arsenal-1935",4,1935,1936-02-01,1.42857142857143
280,26,43,"Arsenal-1935",4,1935,1936-02-08,1.42857142857143
294,27,43,"Arsenal-1935",5,1935,1936-02-22,1.42857142857143
305,28,46,"Arsenal-1935",5,1935,1936-03-04,1.42857142857143
308,29,47,"Arsenal-1935",5,1935,1936-03-07,1.42857142857143
312,30,47,"Arsenal-1935",5,1935,1936-03-11,1.42857142857143
315,31,47,"Arsenal-1935",6,1935,1936-03-14,1.42857142857143
326,32,48,"Arsenal-1935",6,1935,1936-03-25,1.42857142857143
329,33,49,"Arsenal-1935",5,1935,1936-03-28,1.42857142857143
333,34,50,"Arsenal-1935",5,1935,1936-04-01,1.42857142857143
336,35,51,"Arsenal-1935",5,1935,1936-04-04,1.42857142857143
342,36,54,"Arsenal-1935",5,1935,1936-04-10,1.42857142857143
343,37,55,"Arsenal-1935",5,1935,1936-04-11,1.42857142857143
345,38,55,"Arsenal-1935",7,1935,1936-04-13,1.42857142857143
350,39,58,"Arsenal-1935",5,1935,1936-04-18,1.42857142857143
359,40,59,"Arsenal-1935",5,1935,1936-04-27,1.42857142857143
361,41,59,"Arsenal-1935",5,1935,1936-04-29,1.42857142857143
364,42,60,"Arsenal-1935",6,1935,1936-05-02,1.42857142857143
0,0,0,"Arsenal-1938",1,1937,1938-05-07,1.57142857142857
112,1,3,"Arsenal-1938",1,1938,1938-08-27,1.57142857142857
119,2,4,"Arsenal-1938",8,1938,1938-09-03,1.57142857142857
124,3,4,"Arsenal-1938",13,1938,1938-09-08,1.57142857142857
126,4,4,"Arsenal-1938",18,1938,1938-09-10,1.57142857142857
130,5,4,"Arsenal-1938",18,1938,1938-09-14,1.57142857142857
133,6,7,"Arsenal-1938",16,1938,1938-09-17,1.57142857142857
140,7,8,"Arsenal-1938",15,1938,1938-09-24,1.57142857142857
147,8,9,"Arsenal-1938",14,1938,1938-10-01,1.57142857142857
154,9,12,"Arsenal-1938",9,1938,1938-10-08,1.57142857142857
161,10,12,"Arsenal-1938",15,1938,1938-10-15,1.57142857142857
168,11,15,"Arsenal-1938",10,1938,1938-10-22,1.57142857142857
175,12,16,"Arsenal-1938",10,1938,1938-10-29,1.57142857142857
182,13,16,"Arsenal-1938",12,1938,1938-11-05,1.57142857142857
189,14,17,"Arsenal-1938",12,1938,1938-11-12,1.57142857142857
196,15,18,"Arsenal-1938",12,1938,1938-11-19,1.57142857142857
203,16,19,"Arsenal-1938",13,1938,1938-11-26,1.57142857142857
210,17,22,"Arsenal-1938",10,1938,1938-12-03,1.57142857142857
217,18,22,"Arsenal-1938",10,1938,1938-12-10,1.57142857142857
224,19,25,"Arsenal-1938",9,1938,1938-12-17,1.57142857142857
231,20,26,"Arsenal-1938",9,1938,1938-12-24,1.57142857142857
233,21,26,"Arsenal-1938",11,1938,1938-12-26,1.57142857142857
238,22,29,"Arsenal-1938",10,1938,1938-12-31,1.57142857142857
252,23,29,"Arsenal-1938",14,1938,1939-01-14,1.57142857142857
259,24,32,"Arsenal-1938",10,1938,1939-01-21,1.57142857142857
266,25,35,"Arsenal-1938",10,1938,1939-01-28,1.57142857142857
270,26,36,"Arsenal-1938",9,1938,1939-02-01,1.57142857142857
273,27,39,"Arsenal-1938",9,1938,1939-02-04,1.57142857142857
287,28,42,"Arsenal-1938",8,1938,1939-02-18,1.57142857142857
290,29,42,"Arsenal-1938",8,1938,1939-02-21,1.57142857142857
294,30,42,"Arsenal-1938",9,1938,1939-02-25,1.57142857142857
301,31,45,"Arsenal-1938",8,1938,1939-03-04,1.57142857142857
308,32,45,"Arsenal-1938",9,1938,1939-03-11,1.57142857142857
315,33,48,"Arsenal-1938",8,1938,1939-03-18,1.57142857142857
322,34,51,"Arsenal-1938",6,1938,1939-03-25,1.57142857142857
329,35,51,"Arsenal-1938",9,1938,1939-04-01,1.57142857142857
335,36,51,"Arsenal-1938",10,1938,1939-04-07,1.57142857142857
336,37,54,"Arsenal-1938",9,1938,1939-04-08,1.57142857142857
338,38,57,"Arsenal-1938",6,1938,1939-04-10,1.57142857142857
343,39,60,"Arsenal-1938",6,1938,1939-04-15,1.57142857142857
350,40,60,"Arsenal-1938",6,1938,1939-04-22,1.57142857142857
357,41,63,"Arsenal-1938",6,1938,1939-04-29,1.57142857142857
364,42,66,"Arsenal-1938",5,1938,1939-05-06,1.57142857142857
0,0,0,"Arsenal-1948",1,1947,1948-05-01,1.5952380952381
112,1,1,"Arsenal-1948",7,1948,1948-08-21,1.5952380952381
116,2,4,"Arsenal-1948",4,1948,1948-08-25,1.5952380952381
119,3,4,"Arsenal-1948",9,1948,1948-08-28,1.5952380952381
121,4,4,"Arsenal-1948",12,1948,1948-08-30,1.5952380952381
126,5,5,"Arsenal-1948",14,1948,1948-09-04,1.5952380952381
130,6,6,"Arsenal-1948",13,1948,1948-09-08,1.5952380952381
133,7,9,"Arsenal-1948",11,1948,1948-09-11,1.5952380952381
137,8,12,"Arsenal-1948",8,1948,1948-09-15,1.5952380952381
140,9,13,"Arsenal-1948",9,1948,1948-09-18,1.5952380952381
147,10,16,"Arsenal-1948",7,1948,1948-09-25,1.5952380952381
154,11,16,"Arsenal-1948",9,1948,1948-10-02,1.5952380952381
161,12,19,"Arsenal-1948",6,1948,1948-10-09,1.5952380952381
168,13,20,"Arsenal-1948",7,1948,1948-10-16,1.5952380952381
175,14,23,"Arsenal-1948",4,1948,1948-10-23,1.5952380952381
182,15,26,"Arsenal-1948",4,1948,1948-10-30,1.5952380952381
189,16,29,"Arsenal-1948",4,1948,1948-11-06,1.5952380952381
196,17,32,"Arsenal-1948",4,1948,1948-11-13,1.5952380952381
203,18,32,"Arsenal-1948",4,1948,1948-11-20,1.5952380952381
210,19,32,"Arsenal-1948",5,1948,1948-11-27,1.5952380952381
217,20,33,"Arsenal-1948",5,1948,1948-12-04,1.5952380952381
224,21,33,"Arsenal-1948",6,1948,1948-12-11,1.5952380952381
231,22,36,"Arsenal-1948",5,1948,1948-12-18,1.5952380952381
238,23,37,"Arsenal-1948",5,1948,1948-12-25,1.5952380952381
240,24,37,"Arsenal-1948",7,1948,1948-12-27,1.5952380952381
245,25,37,"Arsenal-1948",9,1948,1949-01-01,1.5952380952381
259,26,40,"Arsenal-1948",6,1948,1949-01-15,1.5952380952381
266,27,40,"Arsenal-1948",8,1948,1949-01-22,1.5952380952381
280,28,43,"Arsenal-1948",6,1948,1949-02-05,1.5952380952381
294,29,46,"Arsenal-1948",6,1948,1949-02-19,1.5952380952381
301,30,49,"Arsenal-1948",3,1948,1949-02-26,1.5952380952381
308,31,50,"Arsenal-1948",3,1948,1949-03-05,1.5952380952381
315,32,51,"Arsenal-1948",5,1948,1949-03-12,1.5952380952381
322,33,51,"Arsenal-1948",5,1948,1949-03-19,1.5952380952381
336,34,52,"Arsenal-1948",5,1948,1949-04-02,1.5952380952381
343,35,53,"Arsenal-1948",6,1948,1949-04-09,1.5952380952381
349,36,54,"Arsenal-1948",6,1948,1949-04-15,1.5952380952381
350,37,55,"Arsenal-1948",6,1948,1949-04-16,1.5952380952381
352,38,58,"Arsenal-1948",6,1948,1949-04-18,1.5952380952381
357,39,58,"Arsenal-1948",6,1948,1949-04-23,1.5952380952381
361,40,61,"Arsenal-1948",5,1948,1949-04-27,1.5952380952381
368,41,64,"Arsenal-1948",5,1948,1949-05-04,1.5952380952381
371,42,67,"Arsenal-1948",5,1948,1949-05-07,1.5952380952381
0,0,0,"Arsenal-1953",1,1952,1953-05-01,1.38095238095238
110,1,0,"Arsenal-1953",14,1953,1953-08-19,1.38095238095238
113,2,1,"Arsenal-1953",17,1953,1953-08-22,1.38095238095238
115,3,1,"Arsenal-1953",18,1953,1953-08-24,1.38095238095238
120,4,1,"Arsenal-1953",20,1953,1953-08-29,1.38095238095238
123,5,2,"Arsenal-1953",18,1953,1953-09-01,1.38095238095238
127,6,2,"Arsenal-1953",19,1953,1953-09-05,1.38095238095238
130,7,2,"Arsenal-1953",20,1953,1953-09-08,1.38095238095238
134,8,2,"Arsenal-1953",22,1953,1953-09-12,1.38095238095238
137,9,5,"Arsenal-1953",20,1953,1953-09-15,1.38095238095238
141,10,6,"Arsenal-1953",22,1953,1953-09-19,1.38095238095238
148,11,9,"Arsenal-1953",19,1953,1953-09-26,1.38095238095238
155,12,12,"Arsenal-1953",17,1953,1953-10-03,1.38095238095238
162,13,15,"Arsenal-1953",14,1953,1953-10-10,1.38095238095238
169,14,15,"Arsenal-1953",16,1953,1953-10-17,1.38095238095238
176,15,18,"Arsenal-1953",14,1953,1953-10-24,1.38095238095238
183,16,21,"Arsenal-1953",11,1953,1953-10-31,1.38095238095238
190,17,22,"Arsenal-1953",11,1953,1953-11-07,1.38095238095238
197,18,25,"Arsenal-1953",9,1953,1953-11-14,1.38095238095238
204,19,28,"Arsenal-1953",9,1953,1953-11-21,1.38095238095238
211,20,31,"Arsenal-1953",7,1953,1953-11-28,1.38095238095238
218,21,31,"Arsenal-1953",8,1953,1953-12-05,1.38095238095238
225,22,32,"Arsenal-1953",7,1953,1953-12-12,1.38095238095238
232,23,33,"Arsenal-1953",8,1953,1953-12-19,1.38095238095238
239,24,34,"Arsenal-1953",8,1953,1953-12-26,1.38095238095238
241,25,35,"Arsenal-1953",7,1953,1953-12-28,1.38095238095238
260,26,38,"Arsenal-1953",7,1953,1954-01-16,1.38095238095238
267,27,38,"Arsenal-1953",9,1953,1954-01-23,1.38095238095238
281,28,39,"Arsenal-1953",9,1953,1954-02-06,1.38095238095238
288,29,40,"Arsenal-1953",10,1953,1954-02-13,1.38095238095238
299,30,43,"Arsenal-1953",9,1953,1954-02-24,1.38095238095238
302,31,43,"Arsenal-1953",10,1953,1954-02-27,1.38095238095238
309,32,43,"Arsenal-1953",13,1953,1954-03-06,1.38095238095238
316,33,44,"Arsenal-1953",12,1953,1954-03-13,1.38095238095238
323,34,44,"Arsenal-1953",12,1953,1954-03-20,1.38095238095238
330,35,47,"Arsenal-1953",11,1953,1954-03-27,1.38095238095238
337,36,47,"Arsenal-1953",12,1953,1954-04-03,1.38095238095238
340,37,48,"Arsenal-1953",11,1953,1954-04-06,1.38095238095238
344,38,51,"Arsenal-1953",11,1953,1954-04-10,1.38095238095238
350,39,54,"Arsenal-1953",11,1953,1954-04-16,1.38095238095238
351,40,54,"Arsenal-1953",12,1953,1954-04-17,1.38095238095238
353,41,55,"Arsenal-1953",12,1953,1954-04-19,1.38095238095238
358,42,58,"Arsenal-1953",12,1953,1954-04-24,1.38095238095238
0,0,0,"Arsenal-1971",1,1970,1971-05-03,1.76190476190476
103,1,3,"Arsenal-1971",1,1971,1971-08-14,1.76190476190476
106,2,6,"Arsenal-1971",2,1971,1971-08-17,1.76190476190476
109,3,6,"Arsenal-1971",5,1971,1971-08-20,1.76190476190476
113,4,6,"Arsenal-1971",9,1971,1971-08-24,1.76190476190476
117,5,6,"Arsenal-1971",14,1971,1971-08-28,1.76190476190476
124,6,9,"Arsenal-1971",11,1971,1971-09-04,1.76190476190476
131,7,12,"Arsenal-1971",8,1971,1971-09-11,1.76190476190476
138,8,12,"Arsenal-1971",11,1971,1971-09-18,1.76190476190476
145,9,15,"Arsenal-1971",8,1971,1971-09-25,1.76190476190476
152,10,18,"Arsenal-1971",6,1971,1971-10-02,1.76190476190476
159,11,21,"Arsenal-1971",5,1971,1971-10-09,1.76190476190476
166,12,24,"Arsenal-1971",5,1971,1971-10-16,1.76190476190476
173,13,24,"Arsenal-1971",8,1971,1971-10-23,1.76190476190476
180,14,27,"Arsenal-1971",6,1971,1971-10-30,1.76190476190476
187,15,27,"Arsenal-1971",9,1971,1971-11-06,1.76190476190476
194,16,27,"Arsenal-1971",9,1971,1971-11-13,1.76190476190476
201,17,27,"Arsenal-1971",11,1971,1971-11-20,1.76190476190476
205,18,28,"Arsenal-1971",8,1971,1971-11-24,1.76190476190476
208,19,31,"Arsenal-1971",8,1971,1971-11-27,1.76190476190476
215,20,32,"Arsenal-1971",8,1971,1971-12-04,1.76190476190476
222,21,35,"Arsenal-1971",8,1971,1971-12-11,1.76190476190476
229,22,38,"Arsenal-1971",8,1971,1971-12-18,1.76190476190476
238,23,39,"Arsenal-1971",8,1971,1971-12-27,1.76190476190476
243,24,40,"Arsenal-1971",8,1971,1972-01-01,1.76190476190476
250,25,41,"Arsenal-1971",8,1971,1972-01-08,1.76190476190476
264,26,44,"Arsenal-1971",7,1971,1972-01-22,1.76190476190476
271,27,47,"Arsenal-1971",5,1971,1972-01-29,1.76190476190476
285,28,50,"Arsenal-1971",4,1971,1972-02-12,1.76190476190476
292,29,53,"Arsenal-1971",4,1971,1972-02-19,1.76190476190476
306,30,53,"Arsenal-1971",6,1971,1972-03-04,1.76190476190476
313,31,53,"Arsenal-1971",8,1971,1972-03-11,1.76190476190476
327,32,53,"Arsenal-1971",9,1971,1972-03-25,1.76190476190476
330,33,56,"Arsenal-1971",8,1971,1972-03-28,1.76190476190476
334,34,59,"Arsenal-1971",7,1971,1972-04-01,1.76190476190476
337,35,60,"Arsenal-1971",7,1971,1972-04-04,1.76190476190476
341,36,63,"Arsenal-1971",5,1971,1972-04-08,1.76190476190476
344,37,64,"Arsenal-1971",5,1971,1972-04-11,1.76190476190476
355,38,67,"Arsenal-1971",6,1971,1972-04-22,1.76190476190476
358,39,70,"Arsenal-1971",5,1971,1972-04-25,1.76190476190476
364,40,73,"Arsenal-1971",5,1971,1972-05-01,1.76190476190476
371,41,74,"Arsenal-1971",5,1971,1972-05-08,1.76190476190476
374,42,74,"Arsenal-1971",5,1971,1972-05-11,1.76190476190476
0,0,0,"Arsenal-1989",1,1988,1989-05-26,1.63157894736842
85,1,0,"Arsenal-1989",20,1989,1989-08-19,1.63157894736842
88,2,3,"Arsenal-1989",10,1989,1989-08-22,1.63157894736842
92,3,4,"Arsenal-1989",12,1989,1989-08-26,1.63157894736842
106,4,7,"Arsenal-1989",8,1989,1989-09-09,1.63157894736842
113,5,10,"Arsenal-1989",6,1989,1989-09-16,1.63157894736842
120,6,13,"Arsenal-1989",4,1989,1989-09-23,1.63157894736842
127,7,14,"Arsenal-1989",3,1989,1989-09-30,1.63157894736842
141,8,17,"Arsenal-1989",2,1989,1989-10-14,1.63157894736842
145,9,17,"Arsenal-1989",2,1989,1989-10-18,1.63157894736842
148,10,17,"Arsenal-1989",5,1989,1989-10-21,1.63157894736842
155,11,18,"Arsenal-1989",4,1989,1989-10-28,1.63157894736842
162,12,21,"Arsenal-1989",3,1989,1989-11-04,1.63157894736842
169,13,24,"Arsenal-1989",2,1989,1989-11-11,1.63157894736842
176,14,27,"Arsenal-1989",1,1989,1989-11-18,1.63157894736842
184,15,27,"Arsenal-1989",2,1989,1989-11-26,1.63157894736842
191,16,30,"Arsenal-1989",2,1989,1989-12-03,1.63157894736842
197,17,33,"Arsenal-1989",1,1989,1989-12-09,1.63157894736842
204,18,36,"Arsenal-1989",1,1989,1989-12-16,1.63157894736842
214,19,36,"Arsenal-1989",2,1989,1989-12-26,1.63157894736842
218,20,36,"Arsenal-1989",3,1989,1989-12-30,1.63157894736842
220,21,39,"Arsenal-1989",3,1989,1990-01-01,1.63157894736842
232,22,39,"Arsenal-1989",3,1989,1990-01-13,1.63157894736842
239,23,42,"Arsenal-1989",3,1989,1990-01-20,1.63157894736842
267,24,42,"Arsenal-1989",3,1989,1990-02-17,1.63157894736842
277,25,43,"Arsenal-1989",3,1989,1990-02-27,1.63157894736842
281,26,43,"Arsenal-1989",4,1989,1990-03-03,1.63157894736842
285,27,46,"Arsenal-1989",3,1989,1990-03-07,1.63157894736842
288,28,47,"Arsenal-1989",3,1989,1990-03-10,1.63157894736842
295,29,47,"Arsenal-1989",3,1989,1990-03-17,1.63157894736842
302,30,50,"Arsenal-1989",3,1989,1990-03-24,1.63157894736842
309,31,53,"Arsenal-1989",3,1989,1990-03-31,1.63157894736842
320,32,53,"Arsenal-1989",4,1989,1990-04-11,1.63157894736842
323,33,54,"Arsenal-1989",4,1989,1990-04-14,1.63157894736842
327,34,55,"Arsenal-1989",5,1989,1990-04-18,1.63157894736842
330,35,55,"Arsenal-1989",5,1989,1990-04-21,1.63157894736842
337,36,58,"Arsenal-1989",4,1989,1990-04-28,1.63157894736842
341,37,61,"Arsenal-1989",3,1989,1990-05-02,1.63157894736842
344,38,62,"Arsenal-1989",4,1989,1990-05-05,1.63157894736842
0,0,0,"Arsenal-1991",7,1991,1991-08-17,1.73170731707317
3,1,0,"Arsenal-1991",17,1991,1991-08-20,1.73170731707317
7,2,0,"Arsenal-1991",21,1991,1991-08-24,1.73170731707317
10,3,3,"Arsenal-1991",13,1991,1991-08-27,1.73170731707317
14,4,6,"Arsenal-1991",12,1991,1991-08-31,1.73170731707317
17,5,7,"Arsenal-1991",9,1991,1991-09-03,1.73170731707317
21,6,7,"Arsenal-1991",15,1991,1991-09-07,1.73170731707317
28,7,10,"Arsenal-1991",10,1991,1991-09-14,1.73170731707317
35,8,13,"Arsenal-1991",7,1991,1991-09-21,1.73170731707317
42,9,16,"Arsenal-1991",3,1991,1991-09-28,1.73170731707317
